system:index,evaporation_from_bare_soil_sum,date,.geo
20030302,-5.74E-04,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,-5.54E-04,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,-5.81E-04,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,-5.71E-04,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,-5.85E-04,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,-5.78E-04,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,-5.37E-04,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,-5.81E-04,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,-5.66E-04,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,-5.45E-04,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,-5.55E-04,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,-5.63E-04,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,-5.74E-04,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,-5.61E-04,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,-5.28E-04,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,-5.28E-04,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,-5.27E-04,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,-5.33E-04,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,-5.11E-04,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,-5.55E-04,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,-5.46E-04,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,-5.67E-04,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,-5.71E-04,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,-5.30E-04,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,-5.67E-04,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,-5.59E-04,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,-5.51E-04,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,-5.22E-04,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,-5.21E-04,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,-5.18E-04,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,-5.66E-04,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,-5.52E-04,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,-4.48E-04,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,-3.84E-04,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,-4.29E-04,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,-4.84E-04,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,-3.73E-04,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,-5.92E-04,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,-5.74E-04,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,-4.78E-04,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,-4.82E-04,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,-7.76E-04,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,-6.79E-04,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,-5.82E-04,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
