Date,DPT,AP,WS,WSD,AT,Albedo,evaporation_from_bare_soil_sum,evaporation_from_vegetation_transpiration_sum,NDVI,precipitation,surface_net_solar_radiation_sum,surface_thermal_radiation_downwards_sum,volumetric_soil_water_layer_1,LST
2003-01-01,7.1009577941021575,941.9613232235826,1.9334614336243603,262.13775514819537,291.68465448048516,0.1363102093610992,-0.000517,-0.00016,0.4574250991485691,0.0,16173832.38178406,26800000.0,0.148610498,34.246203991212205
2003-01-02,10.484795780548325,942.6754331407528,1.4360555823654266,300.93582783679545,294.1956799661607,0.1362043160426298,-0.000475,-0.00013,0.3591396000919258,0.0,14181032.67301214,30800000.0,0.148433664,35.734294020046434
2003-01-03,12.606104291470672,942.8814568398795,1.4864523059278951,300.28159728976493,295.8285788042623,0.1362739686579897,-0.000444,-8.28e-05,0.3336866819761939,0.0,11684512.13754507,32600000.0,0.148451846,32.59096009955745
2003-01-04,12.646416852899051,943.009226742896,1.479804529667973,280.08023622516413,295.98627753321796,0.1362184107465783,-0.000461,-5.76e-05,0.3619812190047566,0.0,11901280.296935366,32100000.0,0.14834915,35.4356189100977
2003-01-05,13.066705932391017,943.7625272597096,2.1596948175729502,268.8772815600365,296.07180541093027,0.1358579906628588,-0.000515,-7.68e-05,0.3613612902488848,0.0,13823633.197266066,31200000.0,0.148207563,34.2353474201423
2003-01-06,12.586429311214204,944.2876137369702,1.8262575190084596,286.89283357202066,296.9684904711127,0.1355460826704009,-0.000578,-7.16e-05,0.3728736066135723,0.0,15165849.041749105,31400000.0,0.148017555,38.27085177530349
2003-01-07,12.49842302536581,943.7097962130404,0.805838459105582,275.1372273440792,296.6955542804744,0.1356954339234989,-0.000544,-6.69e-05,0.3650071147643536,0.0,13706755.733699689,31800000.0,0.147854854,36.98455045768343
2003-01-08,12.139468023404676,942.022707481,1.32476167304072,299.35170291450163,296.77322708974606,0.1352185587751681,-0.000576,-8.6e-05,0.3423434905316296,0.0,15334970.958621984,31200000.0,0.147745994,36.39324941059983
2003-01-09,12.857384577700202,942.7528847604892,1.3944998996454931,317.78744522013073,296.83374095545247,0.1347172974463072,-0.000533,-9.63e-05,0.3498916107729062,0.0,14212384.324870812,31800000.0,0.147681013,33.06670253162586
2003-01-10,13.581932534430848,943.5838573937972,1.6621374187273872,298.87632350757985,296.32570227786834,0.1343802035702103,-0.00045,-7.57e-05,0.0998881478301676,0.072272709,12403193.744251082,32100000.0,0.147941968,31.93422604029638
2003-01-11,13.178212780322552,943.9710541210932,1.0681938425343511,289.22469234984544,296.308510088143,0.1344637829934438,-0.000485,-7.84e-05,0.229617120650368,0.004305326,13496689.518294876,31800000.0,0.148590069,33.83083827946397
2003-01-12,13.090854019508413,944.1631573087784,0.9771408564003534,264.6249200642212,296.4342477695183,0.1344294992857676,-0.000499,-7.48e-05,0.2928068907239172,0.0,13987519.073479185,31900000.0,0.149809926,32.81306519787179
2003-01-13,13.664762300940538,944.1339002747692,1.1265711016134106,251.12726179859584,295.7133470376328,0.1343522143698465,-0.00043,-6.95e-05,0.0860953091800312,0.5301065290475996,11901988.911578966,31600000.0,0.150740932,33.34087516062365
2003-01-14,12.94772438561239,944.4591601516724,2.3641145045054004,256.5924465833559,295.6959669170982,0.1338185562489027,-0.000446,-0.000112,0.1213528775354009,0.4397657644101876,13310955.699841216,31100000.0,0.151001858,31.858173551920515
2003-01-15,10.60092745181106,945.0966872195823,2.2599322334629406,265.77076824061504,295.2776460071716,0.1336781175457506,-0.000482,-0.000131,0.3411314630622428,0.0,14321314.102888849,30300000.0,0.15041843,33.852334277311044
2003-01-16,8.913054697829372,944.3071578340778,2.180610009415548,253.40462520873237,293.66515301303434,0.1341067994257612,-0.000571,-0.000201,0.3576144865919131,0.0,17022496.83739152,26700000.0,0.149776508,37.780586489811235
2003-01-17,7.225181943847683,944.2016747994852,2.312847888217352,268.8753224004338,292.869579148942,0.1342375114787418,-0.000552,-0.000226,0.4368007312673095,0.0,17471762.912198037,25900000.0,0.149280781,36.9806652671864
2003-01-18,5.537309189865994,944.047756780316,1.9309852671730217,272.1180964926427,294.3966456073665,0.1342169323652722,-0.000525,-0.000158,0.3477912682553701,0.0,16217261.917395247,29300000.0,0.148899652,38.218609122872905
2003-01-19,10.106369702167456,942.8799421897004,1.4922075724507844,291.470108667136,295.3518259015889,0.1341208199773932,-0.000458,-0.00011,0.3180729028167302,0.0,13846922.188248135,30900000.0,0.148629793,34.26014553673131
2003-01-20,11.916140649155295,941.910750835715,1.037695633888763,296.6640792519166,296.1088132859946,0.1341588234409571,-0.000541,-7.55e-05,0.3494659792382485,0.0,16219464.475298602,30500000.0,0.148412381,38.38853506737306
2003-01-21,12.970147912873417,942.0059673945252,0.7211627956884742,330.8821084389807,297.35601487940096,0.1340788186154367,-0.00056,-6.26e-05,0.3632189878312147,0.0,16259300.246401971,31500000.0,0.148176836,35.77208635144435
2003-01-22,13.11700849678914,940.9963781869436,0.7248385948572797,140.66956180006753,297.20787154695296,0.1339914328176401,-0.00057,-4.35e-05,0.1533575011928979,0.0,15527494.494072009,31000000.0,0.147952216,36.818251752468846
2003-01-23,10.77582271659577,939.3591728617378,1.3518161089769394,116.42407831307054,296.88771405751527,0.1337095765457282,-0.000605,-8.65e-05,0.3589148190745875,0.0,16872501.611595534,29700000.0,0.147752687,39.90922996724719
2003-01-24,5.983915391035282,938.691965344574,1.547015731783761,117.70478886005424,296.0696882116566,0.133891729909673,-0.00062,-0.000111,0.2112074661825624,0.001698334,17572705.75537794,27600000.0,0.147580714,35.518677460160156
2003-01-25,7.256378868046397,939.8657069896124,1.3345253956100618,221.24302310697104,296.63190384309524,0.1339210796378515,-0.000595,-9.84e-05,0.2874471844550331,0.0,16848928.526522126,29100000.0,0.147450778,33.88704776006484
2003-01-26,10.884388057238482,941.4318155668692,1.000505050069109,286.28479884493305,298.10733257828036,0.134058207638972,-0.000574,-7.59e-05,0.3377253722436069,0.0,16794137.754348826,31500000.0,0.14734747,39.07189583175915
2003-01-27,14.24299756462051,941.559158995654,0.7040714592583234,40.028772610661235,298.0971593322995,0.1339972142452406,-0.000541,-6.12e-05,0.3382800499654568,0.0,15960830.982246645,32200000.0,0.147380079,39.379882880329625
