Date,DPT,AP,WS,WSD,RH,LST
2003-01-01,9.801921300616527,952.321702387488,2.702137663409639,228.98964433765127,91.13744609193449,35.25302714856763
2003-01-02,12.894156165245647,953.8967385926085,2.9742406806490043,287.66992853624686,92.93862929245034,31.660534643570948
2003-01-03,16.945643330757946,954.4713064886272,3.0155289471923434,308.53673136495934,96.69037740065535,30.085849017321774
2003-01-04,17.76119926861969,954.1724685837596,1.8650826343767728,299.3952579362587,98.01695888458266,30.569863840772815
2003-01-05,14.281282682286644,954.395644195068,2.287667904536567,265.0105237318579,93.24526838345146,31.878895319786803
2003-01-06,12.18765079773226,955.0845597925843,2.3060037340551265,259.23462755245737,92.2701096023281,32.436581862091934
2003-01-07,8.97525474083875,954.4156617801664,2.279450099017262,249.43617876514938,90.07763733771353,33.195652898067955
2003-01-08,12.062721219686637,953.1039860110136,2.2998642035644705,284.96268221622745,92.28001372900533,33.01568121252499
2003-01-09,13.989882197344798,954.4630677158497,2.816420927309374,292.1866965018497,94.18960166807425,31.40911892071951
2003-01-10,13.697897687269574,954.7464704901448,2.5262685714616735,290.924180315575,93.90460429192066,33.96512533311126
2003-01-11,13.351420431432643,954.7810117398819,2.333649396622263,286.7964558287832,92.97104169223623,34.34878622584943
2003-01-12,14.299920194023969,954.9546281695256,2.43612274664376,289.92608685637015,94.00448987244835,30.974581528980686
2003-01-13,13.996832174699534,954.4783824264291,2.098680781644133,280.1506969636279,93.40874154101435,34.972614090606264
2003-01-14,14.371081065857311,954.9606230362122,2.490696063934536,269.8782787347294,93.96448944587034,30.23925716189207
2003-01-15,10.417378290729914,955.6034865309728,2.45300753561179,236.89539518432832,91.25081296204397,28.48457903064624
2003-01-16,4.982038444850787,954.6268679410588,2.443865725353045,250.7449802480059,88.02075692728262,30.027898067954695
2003-01-17,3.000718457848052,954.9038943529404,2.455650916836548,264.39055224973526,86.71291350760917,35.01548134576949
2003-01-18,11.20180903455281,955.305095850821,2.748967805557544,285.8816367683959,92.72372686244766,35.439813041305776
2003-01-19,11.01913871132507,954.0388694492852,2.571618862159428,296.0034561715178,92.05427834522116,33.427350516322456
2003-01-20,11.68871332701076,953.1525307311271,2.6250556450217752,292.9112845173194,91.97395372612388,37.75941039307128
2003-01-21,11.368410645947165,952.756135298294,2.54440818146537,304.5966619362812,91.25878754470482,35.88398984010659
2003-01-22,10.813059934756211,951.2734020437433,1.506407805723971,298.00093673426704,89.98948828419083,33.91554172218522
2003-01-23,10.535310420965857,949.166991341041,1.101935237536214,22.340807344092752,89.44469770708025,36.0876790473018
2003-01-24,10.469251699784195,948.1902176679631,0.5142575626633701,90.8418155186514,89.2497861371952,39.891813790806125
2003-01-25,11.530599563745852,949.9253898711172,1.870507914509868,308.1648420515969,89.51488451418234,34.6694516155896
2003-01-26,12.900988032983491,952.1199725230659,2.1509406732695604,297.31045616990133,90.89303177929136,37.056703864090615
2003-01-27,11.974325039714415,952.1179104640833,1.714452622053716,298.3023986279073,90.4811607579008,37.88873459360427
2003-01-28,11.332235780697204,951.9338708566806,2.6773871493201216,321.9640284409679,90.05176399289842,38.54021277481679
2003-01-29,7.528013532375951,951.9401094785752,1.5737056722674505,324.33549385444877,87.14660635692414,39.98678172884741
2003-01-30,10.14849569403151,951.7097421817757,1.4651470832719555,324.8527546174626,89.04576056012475,35.55365589606927
2003-01-31,10.513259402032304,951.8388146137619,2.2136597601706636,332.4551539704502,88.98156010911734,42.27139198867421
2003-02-01,12.573841724570173,952.5772897327888,3.2672724339893966,315.2122153134813,90.61455020885063,35.9833985676216
2003-02-02,15.92045911854143,953.4072922784012,2.9231243635263717,311.79210356914746,93.50332700251354,39.417346768820785
2003-02-03,12.436722275001614,952.9097034925555,3.734979408148336,310.1791586156168,91.82328223834557,38.609379163890736
