Date,DPT,AP,WS,WSD,AT,Albedo,evaporation_from_bare_soil_sum,evaporation_from_vegetation_transpiration_sum,NDVI,precipitation,surface_net_solar_radiation_sum,surface_thermal_radiation_downwards_sum,volumetric_soil_water_layer_1,LST
2003-01-01,9.801921300616527,952.321702387488,2.702137663409639,228.98964433765127,294.5879354011856,0.1500607333508358,-0.000407,-0.000179,0.2306207989339163,0.0,15482501.465519397,28900000.0,0.119923408,35.25302714856763
2003-01-02,12.894156165245647,953.8967385926084,2.9742406806490043,287.66992853624686,295.3646865923252,0.1513369432046905,-0.000302,-0.000127,0.1974560048076516,0.0,11774216.986541104,32300000.0,0.120030416,31.660534643570948
2003-01-03,16.945643330757946,954.4713064886272,3.015528947192343,308.53673136495934,294.4364723516212,0.1515386584405355,-0.000128,-5.81e-05,0.0190373392990416,0.0,9142361.922830118,33300000.0,0.126387053,30.085849017321777
2003-01-04,17.76119926861969,954.1724685837596,1.8650826343767728,299.3952579362587,293.4953156956629,0.1513118053732388,-4.38e-05,-2.56e-05,0.0796329797207428,0.0,4418172.904621026,33600000.0,0.1556429,30.569863840772815
2003-01-05,14.281282682286644,954.395644195068,2.287667904536567,265.0105237318579,296.41065758576764,0.1512223048002097,-0.000545,-7.92e-05,0.1946550221933286,0.0,14497082.48622859,31500000.0,0.155939173,31.878895319786803
2003-01-06,12.18765079773226,955.0845597925844,2.3060037340551265,259.23462755245737,295.5537336969062,0.1514684139197341,-0.000529,-0.000128,0.2008205747845597,0.0,15474509.090628782,29800000.0,0.149924754,32.436581862091934
2003-01-07,8.97525474083875,954.4156617801664,2.279450099017262,249.43617876514935,295.208118813212,0.1519691833590138,-0.000546,-0.000166,0.1875869166668927,0.0,16453992.854785616,28400000.0,0.14475908,33.195652898067955
2003-01-08,12.062721219686637,953.1039860110136,2.2998642035644705,284.96268221622745,295.4054089039451,0.1517315851047391,-0.000456,-0.000123,0.2055643557920734,0.0,15352070.911496315,30000000.0,0.140554505,33.01568121252499
2003-01-09,13.989882197344798,954.4630677158495,2.816420927309374,292.1866965018497,294.77856345002965,0.1516574840518287,-0.00039,-0.000125,0.123968779620107,0.0,13344755.878036588,30700000.0,0.137579945,31.40911892071951
2003-01-10,13.697897687269574,954.7464704901448,2.5262685714616735,290.924180315575,294.86605226634475,0.1503383440390259,-0.000389,-0.000118,0.2165116809978767,0.0,14789037.33001375,30200000.0,0.135173439,33.96512533311126
2003-01-11,13.351420431432643,954.781011739882,2.333649396622263,286.7964558287832,295.8071598219772,0.1505520897088397,-0.000381,-0.000112,0.2199067966487244,0.0,15453560.597191546,30600000.0,0.133032368,34.34878622584943
2003-01-12,14.299920194023969,954.9546281695256,2.43612274664376,289.92608685637015,295.36352422184814,0.1499506645099238,-0.000312,-0.000109,0.1209016219290663,0.0,13955841.02233426,31200000.0,0.131259487,30.97458152898069
2003-01-13,13.996832174699534,954.4783824264292,2.098680781644133,280.1506969636279,295.87725240047035,0.1500115852059106,-0.000353,-9.98e-05,0.0218964472094082,0.0,14900555.258260757,31400000.0,0.129874145,34.972614090606264
2003-01-14,14.371081065857313,954.9606230362122,2.490696063934536,269.8782787347294,295.49460265272785,0.1482743070735331,-0.000302,-0.000125,0.1414535289239429,0.0,13835504.354723116,30900000.0,0.128877874,30.23925716189207
2003-01-15,10.417378290729914,955.6034865309728,2.45300753561179,236.89539518432832,295.09443116779823,0.1484201713736117,-0.000365,-0.000184,0.1257586821572633,0.0548239,16014191.17542398,29500000.0,0.127728739,28.48457903064624
2003-01-16,10.678855205337548,954.6268679410588,2.443865725353045,250.7449802480059,293.77212804729106,0.1483190521990031,-0.00039,-0.000245,0.0710733559732258,3.6881391374055945,16381224.498104088,27100000.0,0.12639944,30.027898067954695
2003-01-17,10.940332119945175,954.9038943529404,2.455650916836548,264.39055224973526,293.46113794958035,0.1482049269913437,-0.000415,-0.000233,0.2185009583375906,0.0,17491938.19071628,26500000.0,0.125232772,35.01548134576949
2003-01-18,11.20180903455281,955.305095850821,2.748967805557544,285.8816367683959,293.8572814719459,0.1477021946314592,-0.00042,-0.000126,0.2211898225063509,0.0,16411395.749531226,28700000.0,0.124290783,35.439813041305776
2003-01-19,11.01913871132507,954.0388694492852,2.571618862159428,296.0034561715178,294.6024432506379,0.1475528110518492,-0.000378,-0.00012,0.2239458632899679,0.0,16912541.184424356,28500000.0,0.123566033,33.427350516322456
2003-01-20,11.68871332701076,953.1525307311272,2.6250556450217752,292.9112845173194,295.4378338243179,0.1475652487540439,-0.000419,-0.000109,0.2217979004387176,0.0,16881462.492478848,28900000.0,0.12284804,37.75941039307128
2003-01-21,11.368410645947163,952.756135298294,2.54440818146537,304.5966619362812,296.11526710564516,0.1474243464195156,-0.000441,-0.000111,0.2365824554396536,0.0,17077376.415392313,29000000.0,0.122264875,35.88398984010659
2003-01-22,10.813059934756213,951.2734020437432,1.506407805723971,298.00093673426704,297.355629715129,0.1473682565358048,-0.000444,-7.47e-05,0.2159785717260667,0.0,16612471.49022876,30000000.0,0.121716252,33.91554172218522
2003-01-23,10.535310420965857,949.166991341041,1.101935237536214,22.340807344092752,297.8540803087862,0.1479590583194893,-0.000475,-5.19e-05,0.219258981986352,0.0,17071593.30013751,30300000.0,0.121210009,36.0876790473018
2003-01-24,10.469251699784197,948.1902176679632,0.5142575626633701,90.8418155186514,298.0706080182073,0.1479323249103785,-0.000456,-8.69e-05,0.1785174660938606,0.0,16973730.950289585,30400000.0,0.120795166,39.891813790806125
2003-01-25,11.530599563745852,949.9253898711172,1.870507914509868,308.1648420515969,298.84904610437957,0.147838135000437,-0.000464,-9.14e-05,0.2009622398873101,0.0,16285792.481520064,31700000.0,0.120440383,34.6694516155896
2003-01-26,12.900988032983491,952.119972523066,2.1509406732695604,297.31045616990133,298.3132398728458,0.1477420870857741,-0.000369,-0.00012,0.1807284151292487,0.0,14650110.637234882,32000000.0,0.1201777,37.056703864090615
2003-01-27,11.974325039714415,952.1179104640833,1.714452622053716,298.3023986279073,297.90628485255314,0.1481681166389786,-0.000421,-0.000123,0.2128646887393663,0.0,17084479.409600407,30200000.0,0.119980006,37.88873459360427
2003-01-28,11.332235780697204,951.9338708566806,2.6773871493201216,321.9640284409679,297.8343519374565,0.1485960041969047,-0.000412,-0.000162,0.2123446394520844,0.0,17503318.797824904,29800000.0,0.119822137,38.54021277481679
2003-01-29,7.528013532375951,951.9401094785752,1.5737056722674505,324.33549385444877,297.94173587532765,0.1485414007169712,-0.000466,-0.000152,0.2118245901648027,0.0,17611862.35968165,29400000.0,0.119676684,39.98678172884741
2003-01-30,10.14849569403151,951.7097421817756,1.4651470832719555,324.8527546174626,298.01903626795485,0.1494104223135436,-0.00045,-0.000107,0.2018094577111252,0.0,17521289.744489353,30000000.0,0.119536252,35.55365589606927
2003-01-31,10.513259402032304,951.838814613762,2.2136597601706636,332.4551539704502,298.5197252103244,0.1491306505202412,-0.000425,-0.000141,0.2123475472157917,0.0,17484187.647651993,30200000.0,0.119439702,42.27139198867421
