system:index,band,date,.geo
20100314,-0.01026065665146866,2010-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100315,-0.011223265938762585,2010-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100316,-0.01087003361466883,2010-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100317,-0.01277968227637874,2010-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100318,-0.013272641384442525,2010-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100319,-0.011899483658830545,2010-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100320,-0.012601758632394471,2010-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100321,-0.013595478755864704,2010-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100322,-0.012375321749803426,2010-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100323,-0.012255586227401166,2010-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100324,-0.012140094796090484,2010-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100325,-0.012267648396803369,2010-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100326,-0.011192901812231808,2010-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100327,-0.010480388994228002,2010-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100328,-0.01065226244927691,2010-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100329,-0.009964571568999303,2010-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100330,-0.008865867387294862,2010-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100331,-0.00837731477833606,2010-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100401,-0.011229124912103927,2010-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100402,-0.01051761240783161,2010-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100403,-0.010889379352116795,2010-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100404,-0.01228047966595019,2010-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100405,-0.01160246094513777,2010-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100406,-0.01214319883525461,2010-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100407,-0.012642534056469404,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100408,-0.011285616776777925,2010-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100409,-0.010880105676213305,2010-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100410,-0.011975332567421436,2010-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100411,-0.012118310399322011,2010-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100412,-0.009952177482572613,2010-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100413,-0.009727294150469003,2010-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100414,-0.008397364193353903,2010-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100415,-0.010378705864081418,2010-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100416,-0.009555355609856164,2010-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100417,-0.009781331738273051,2010-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100418,-0.009141745768112742,2010-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100419,-0.0071262077650682066,2010-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100420,-0.007916780097514533,2010-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100421,-0.008037164518294723,2010-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100422,-0.0074373198732371045,2010-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100423,-0.00855359520376071,2010-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100424,-0.007214874411497563,2010-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100425,-0.008858580564469167,2010-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100426,-0.007894095548500941,2010-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100427,-0.007795026407062515,2010-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100428,-0.008174794285652268,2010-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100429,-0.009927772243698374,2010-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100430,-0.007262573944660536,2010-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100501,-0.008601481925951802,2010-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100502,-0.0075154611855028355,2010-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100503,-0.008271988683058621,2010-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100504,-0.008727476796410252,2010-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100505,-0.008165773533555062,2010-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100506,-0.009226388547510251,2010-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100507,-0.008184916309124617,2010-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100508,-0.007341438962054296,2010-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100509,-0.008187653412364299,2010-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100510,-0.007720599867842697,2010-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100511,-0.008777142539179642,2010-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100512,-0.008947883065967383,2010-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100513,-0.008562180062051674,2010-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100514,-0.00784742737625531,2010-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100515,-0.008466025634530588,2010-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100516,-0.007369748620897265,2010-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100517,-0.008414557473551992,2010-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100518,-0.00749613955638086,2010-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100519,-0.003697610612427457,2010-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100520,-0.004808542510982597,2010-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100521,-0.005882228511079196,2010-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100522,-0.008961874925124758,2010-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100523,-0.007090222726146485,2010-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100524,-0.008794782883407215,2010-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100525,-0.01022655606047778,2010-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100526,-0.009942722804185967,2010-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100527,-0.010822742558043254,2010-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100528,-0.009880413509084252,2010-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100529,-0.009623541816548802,2010-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100530,-0.008783712493598366,2010-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100531,-0.008067476849416865,2010-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100601,-0.009690970295761927,2010-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100602,-0.009122175283214164,2010-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100603,-0.007988161307220413,2010-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100604,-0.00772141715798323,2010-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100605,-0.008221522768493464,2010-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100606,-0.010399841997245352,2010-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100607,-0.006722800619014083,2010-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100608,-0.007198657256688851,2010-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100609,-0.005675686960114946,2010-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100610,-0.0060445375665698214,2010-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100611,-0.004424424467607051,2010-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100612,-0.006107827852469822,2010-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100613,-0.006184993317842659,2010-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100614,-0.003417204357204879,2010-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100615,-0.004986965569604239,2010-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100616,-0.006490653264233725,2010-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100617,-0.006232245396124413,2010-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100618,-0.007010005762314088,2010-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100619,-0.006493104112812606,2010-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100620,-0.005925255438630565,2010-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100621,-0.007941292879267033,2010-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100622,-0.0073249362612391586,2010-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100623,-0.007070386944754586,2010-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100624,-0.006386159006515731,2010-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100625,-0.0066936331354936875,2010-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100626,-0.006388323667906725,2010-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100627,-0.006085540860905953,2010-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100628,-0.007238961277718724,2010-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100629,-0.006961231903969018,2010-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100630,-0.007269288269290926,2010-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100701,-0.004895641369925391,2010-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100702,-0.0028329746439327503,2010-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100703,-0.0034643102139738633,2010-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100704,-0.005212122621478831,2010-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100705,-0.004599822548743571,2010-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100706,-0.005535676335653293,2010-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100707,-0.004419963922283897,2010-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100708,-0.004161904180732268,2010-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100709,-0.00595254373432819,2010-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100710,-0.006502827235550434,2010-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100711,-0.006395482254665182,2010-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100712,-0.005766102923559484,2010-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100713,-0.006264017698141655,2010-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100714,-0.008202138963501929,2010-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100715,-0.006393596120833601,2010-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100716,-0.005128633429463522,2010-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100717,-0.0050315956296765095,2010-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100718,-0.005680597170015989,2010-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100719,-0.0055212275964203845,2010-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100720,-0.003664413483456405,2010-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100721,-0.0038781921308563556,2010-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100722,-0.004047487051675118,2010-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100723,-0.006234233682862542,2010-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100724,-0.0065937705525134374,2010-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100725,-0.006393083144186482,2010-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100726,-0.008091750740370647,2010-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100727,-0.008061521486185068,2010-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100728,-0.0056735402593171705,2010-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100729,-0.004308355925790493,2010-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100730,-0.0038999954034636595,2010-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100731,-0.00692661399710971,2010-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100801,-0.006970157619443074,2010-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100802,-0.0072704804776612285,2010-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100803,-0.005959771481920207,2010-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100804,-0.006109834056452654,2010-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100805,-0.0063247222741659335,2010-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100806,-0.006707561855404072,2010-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100807,-0.005837041424769759,2010-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100808,-0.006477318028164005,2010-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100809,-0.0068932380131044475,2010-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100810,-0.007706382203465369,2010-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100811,-0.007642237154828604,2010-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100812,-0.005861081158858288,2010-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100813,-0.005427848721149718,2010-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100814,-0.005654437946171268,2010-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100815,-0.004577107170755603,2010-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100816,-0.004838657494492598,2010-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100817,-0.006527663482506054,2010-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100818,-0.005909739961613764,2010-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100819,-0.006709787045225183,2010-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100820,-0.004664806300477566,2010-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100821,-0.0030207021008611472,2010-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100822,-0.004607941107353866,2010-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100823,-0.004666263600868668,2010-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100824,-0.003313726147048436,2010-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100825,-0.0018240780445184137,2010-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100826,-0.004282395254738305,2010-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100827,-0.006125326193315975,2010-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100828,-0.006479580855318807,2010-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100829,-0.005121917214589828,2010-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100830,-0.0048779089980222345,2010-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100831,-0.0037255188229026,2010-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100901,-0.007326400777803796,2010-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100902,-0.006427536397916003,2010-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100903,-0.005288422819223493,2010-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100904,-0.005702683952431192,2010-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100905,-0.005174772684146802,2010-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100906,-0.005795327137320045,2010-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100907,-0.0063700291233394195,2010-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100908,-0.005923688037641402,2010-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100909,-0.006436567720648795,2010-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100910,-0.005628941388291607,2010-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100911,-0.00435346751994896,2010-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100912,-0.005578849754440233,2010-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100913,-0.004894532100322245,2010-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100914,-0.003950686055860844,2010-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100915,-0.005080204575853401,2010-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100916,-0.005465263956927945,2010-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100917,-0.005628248861590869,2010-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100918,-0.005482754260252977,2010-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100919,-0.006197662975952297,2010-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100920,-0.006123186676300566,2010-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100921,-0.0047227665306505675,2010-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100922,-0.005148572921202853,2010-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100923,-0.005412072510908489,2010-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100924,-0.005215255465039047,2010-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100925,-0.005010095080015664,2010-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100926,-0.005505385581159458,2010-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100927,-0.005621200811229532,2010-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100928,-0.006417550996263113,2010-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100929,-0.0056746117399252205,2010-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100930,-0.0062091597995772435,2010-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101001,-0.004840572299152202,2010-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101002,-0.00501468650079269,2010-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101003,-0.00463544625403593,2010-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101004,-0.0053689337419934756,2010-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101005,-0.00515783100304442,2010-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101006,-0.004532841272431199,2010-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101007,-0.005100273186605381,2010-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101008,-0.006110396521352269,2010-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101009,-0.005510974667559622,2010-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101010,-0.00460138228924643,2010-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101011,-0.007494485716688146,2010-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101012,-0.006306547938283223,2010-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101013,-0.0054856597526426595,2010-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101014,-0.0058526086548995136,2010-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101015,-0.005127456883290999,2010-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101016,-0.007348509198835063,2010-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101017,-0.0053226569015024025,2010-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101018,-0.005662094180519424,2010-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101019,-0.005664061178562345,2010-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101020,-0.004606272917773793,2010-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101021,-0.004604911945922298,2010-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101022,-0.005194864109735553,2010-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101023,-0.0034832914774734877,2010-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101024,-0.005128794849949088,2010-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101025,-0.005749888745996051,2010-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101026,-0.004887036341292526,2010-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101027,-0.004304970178713938,2010-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101028,-0.005967736149289807,2010-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101029,-0.00427488320123304,2010-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101030,-0.0028798536186962704,2010-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101031,-0.0024991135893687793,2010-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
